,game_id,game_title,video_name,yt_views,yt_likes,yt_comments,yt_thumbnail,video_url,pub_date
47,111958650,arsenal,Roblox How To Code - How To Script On Roblox - Episode 1,1077607,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
17,66654135,murder mystery 2,Roblox How To Code - How To Script On Roblox - Episode 1,1077607,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
36,2577800301,  weight lifting simulator,Roblox How To Code - How To Script On Roblox - Episode 1,1077607,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
7,2383988292,[world28]   beeface: be a bee!,Roblox How To Code - How To Script On Roblox - Episode 1,1077607,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
51,985731078,world // zero,Roblox How To Code - How To Script On Roblox - Episode 1,1077607,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
22,1934249057,tropical resort tycoon  ,Roblox How To Code - How To Script On Roblox - Episode 1,1077607,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
26,1278035280,warrior cats: ultimate edition,Roblox How To Code - How To Script On Roblox - Episode 1,1077607,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
2,994732206,[update 14] blox fruits,Roblox How To Code - How To Script On Roblox - Episode 1,1077607,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
12,88070565,welcome to bloxburg,Roblox How To Code - How To Script On Roblox - Episode 1,1077607,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
9,2383988292,[world28]   beeface: be a bee!,Beginners Roblox Lua Scripting Tutorial - Crash Course,484397,1395,217,https://i.ytimg.com/vi/S9Mpa_0wTrM/default.jpg,https://www.youtube.com/watch?v=S9Mpa_0wTrM,2020-01-10
