,game_category,game_id,game_title,user_count,positive_ratings,game_url,game_image_url
0,Popular,1686885941,brookhaven  rp,3591000.0,90.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=4924922222&Position=1&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.499Z,https://t7.rbxcdn.com/90b781012ee44ad631bb8ca902909bbf
1,Popular,994732206,[update 14] blox fruits,922000.0,93.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=2753915549&Position=2&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.499Z,https://t0.rbxcdn.com/0f4948fe1f9d5446f2b7a1f5b833f848
2,Popular,383310974,adopt me!,1467000.0,84.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=920587237&Position=3&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.499Z,https://t4.rbxcdn.com/593d2c3a3ed4b948c0ce1d1a1b697fc4
3,Popular,1511883870,[update + 2x exp] shindo,514000.0,94.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=4616652839&Position=4&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.499Z,https://t4.rbxcdn.com/1da9785aae433406dcdcf76ef213a695
4,Popular,66654135,murder mystery 2,695000.0,92.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=142823291&Position=5&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.500Z,https://t1.rbxcdn.com/d81d932a20464e69a91e571c4551d2b5
5,Popular,1720936166,[update!] all star tower defense,447000.0,93.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=4996049426&Position=6&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.500Z,https://t6.rbxcdn.com/e2cc36a340ade250c637afc68b031247
6,Popular,111958650,arsenal,418000.0,88.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=286090429&Position=7&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.500Z,https://t1.rbxcdn.com/ace3c6ed2f6c85cc6a2934bd693ac7f0
7,Popular,1016936714,new update your bizarre adventure,31000.0,90.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=2809202155&Position=8&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.500Z,https://t2.rbxcdn.com/8c13aad25f8dc9392b479d5b9ef21216
8,Popular,88070565,welcome to bloxburg,706000.0,91.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=185655149&Position=9&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.500Z,https://t6.rbxcdn.com/2525bd623e7365ccfa7c2f8c952acb91
9,Popular,2404080894,[tabi] funky friday,36000.0,91.0,https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=5bf4ec1c-67ab-44b9-8a88-bbdcb1b4adcb&PageType=GamesSeeAll&PlaceId=6447798030&Position=10&SortPosition=3&LocalTimestamp=2021-05-24T01:57:58.500Z,https://t1.rbxcdn.com/b43ca52a3696902acc52cbb96d764b9f
